grain_R,grain_asp
22.889872,1.2239072
22.49103,1.4065214
26.775757,1.1555324
28.237185,1.2080119
24.339426,1.2841941
21.229776,1.0752693
29.366995,1.0554407
24.416716,1.4390662
14.806111,0.94566524
17.864786,0.69501984
16.95863,1.0059303
19.957775,0.9358888
16.244333,0.8516892
19.360762,0.97246516
24.47016,1.2857144
33.96679,1.5009557
20.012844,0.9796362
16.448885,1.1147631
17.713491,1.0440347
27.173162,0.95934373
14.735852,0.8042724
24.587439,1.4415324
20.743452,1.2355546
19.18577,1.1639769
17.700819,1.209257
21.53575,0.9946303
23.428038,1.1323586
18.709059,0.9549982
25.909836,1.6172503
23.549814,1.3718263
25.41606,1.3350871
21.69076,1.3756701
21.317999,1.2766914
14.424822,1.0453932
21.093044,1.1889136
20.186352,1.2187082
10.89603,0.6328424
18.802628,1.0289859
18.746794,1.0629427
22.405577,1.4620423
13.907081,0.9888064
24.121458,1.4269795
21.773241,0.9849412
17.366385,1.3605186
25.55353,1.1292325
29.78239,1.2164043
18.430735,1.234867
19.194717,1.0560706
25.085262,1.1937895
14.340049,0.8692304
20.953993,1.3524133
25.367403,1.3219737
17.34587,0.73865443
24.500685,1.342821
23.015524,0.8789348
17.718838,1.1971389
19.399666,1.019261
20.699976,0.9471882
16.038176,0.96933424
16.750727,1.013819
21.078375,1.2893096
35.371895,1.6064202
25.572004,1.2737343
18.590727,0.8508973
18.30331,0.8932533
19.544165,0.89340836
16.78619,1.0726734
20.539167,1.1493376
18.050636,1.019927
20.658915,1.281589
24.529886,1.1224679
20.730707,0.9746104
18.91704,1.2502496
21.400177,1.2326719
13.985,1.0069034
25.825888,1.2688808
17.520388,0.8831188
21.372011,1.0257832
14.770167,1.0339613
16.164837,0.9209729
24.521156,1.4867219
28.31381,1.1078349
25.768003,0.92477804
17.106104,0.7966718
11.709077,0.681423
20.629957,1.260821
19.59104,1.0545635
20.145548,0.92655534
25.184385,1.3377246
15.929038,1.3365504
18.368103,1.156108
29.144724,1.5413002
21.731962,1.3708216
19.698236,1.049205
19.419386,1.2878262
14.430652,0.872009
21.25448,1.1472996
24.176855,1.2320136
25.503134,1.0732696
25.984911,1.3738272
16.98012,0.91600484
13.933084,1.0131217
25.194921,1.0357157
16.602388,1.2236329
22.136581,1.2692722
21.473238,1.2973189
21.074959,0.96857387
15.585473,0.80865026
17.44122,1.0832299
10.904645,0.95894045
18.96309,1.4449584
22.626734,1.0825294
18.795115,0.8012646
12.765641,0.88881034
23.90187,1.3010182
20.515131,1.1406207
14.20551,0.88834375
19.59276,1.3087099
24.055414,1.3412596
20.094917,1.1189834
27.038727,1.1911606
21.417929,1.4150673
17.99549,1.1242574
25.579935,1.1944677
24.613348,1.280603
15.769463,1.0718246
23.763105,0.895634
18.90902,0.9119622
23.494556,0.9357632
21.563871,1.4098445
22.566813,1.0918115
16.634806,0.84944314
15.574994,0.9999193
26.97053,1.1112584
19.87876,1.1773548
13.442756,0.9881213
19.98852,1.0944417
26.38037,1.1349901
24.375265,1.1521881
20.972067,1.2606552
20.149622,1.1561022
16.229641,1.0219123
19.440092,0.885017
10.968871,0.74416286
29.252304,1.1196957
28.858816,1.2509362
18.312304,0.9521177
21.529184,1.2018379
21.560347,1.4599415
22.521614,1.1255153
24.5717,1.1488738
22.666475,1.1654007
21.381971,1.402443
24.108644,1.2752192
16.99651,0.8822948
22.411203,0.9522664
22.45657,0.99922293
28.899576,1.318925
20.841742,0.96530765
25.052755,1.1212803
19.603142,1.0573599
21.271288,1.21926
17.811953,1.0591666
18.285002,0.9596139
19.935598,0.791892
21.189615,1.2860768
16.41528,1.1151142
29.193253,1.4173564
26.085154,1.287717
17.20305,1.170614
18.474146,1.0364776
19.631872,1.202281
14.451852,0.8392989
21.795588,1.4663278
22.328402,1.2909935
17.82659,0.98976505
20.055536,0.9563903
24.569738,1.316061
20.143976,1.2763547
24.16308,0.96053845
21.35137,1.1000133
24.621561,0.8522261
23.889017,1.2633421
21.528652,1.0424196
24.037004,1.2460699
24.917046,1.2158486
14.69592,1.0246748
16.332045,0.9075255
21.125324,0.904597
20.931166,1.1291125
20.42176,1.2208766
18.784483,1.2324778
21.745552,0.8801779
14.374978,0.9272475
21.70024,0.93053883
17.175325,0.964674
21.922022,1.1359019
22.608906,0.9273674
24.765268,1.0076655
20.013048,0.9054756
14.83328,0.84071743
27.712698,1.1542505
19.151836,1.1944185
24.022928,0.99732214
12.431487,0.8896374
23.925222,1.0851563
15.89416,0.852225
22.891703,1.0412484
25.87189,1.422277
19.787083,1.0121137
15.532563,1.0162534
22.038092,1.0087452
25.517794,1.0711908
13.690568,0.81035995
23.646318,1.4028127
15.896444,1.1527476
18.954418,1.312394
29.376875,1.1469042
21.029701,1.1183254
17.62292,0.9739073
20.159563,1.01276
24.485905,1.2590268
10.590777,0.91444045
22.358765,1.0097687
18.548439,0.96475315
20.239862,0.8748879
20.512133,1.1300807
22.461718,1.0509406
16.99832,1.1122134
16.81249,1.1261668
28.542837,1.396026
17.58117,1.0342127
17.073467,1.3049631
26.632364,1.1494033
15.533362,1.0519792
18.77226,1.2523816
24.065378,1.4480758
22.151339,1.150952
26.425201,1.2666599
20.701492,1.1869208
20.83903,1.0359191
21.25311,1.0323108
19.795828,1.5906637
16.88396,1.0363755
23.275015,0.99437577
19.05082,0.9038571
14.218519,1.0631516
18.049715,1.01043
13.086793,0.8600666
18.414877,0.76490533
15.269701,0.84347755
24.812773,1.1980928
25.279627,1.0917158
17.413889,0.99730545
